id,name,kategorie,autor,version,aktualisiert,eingestellt
19002810,Siemens Home Connect v1.14,Webservice,Schmidt Andre (eXec),V 1.14,2026-07-03 08:26:48,2026-06-30 14:22:03
19002762,Modbus TCP :: Connector,Modbus,Nima Ghassemi (sipiyou),V 1.10,2026-07-02 19:15:56,2026-04-11 00:17:23
19001508,TV Anti Glare Controller v1.3,Jalousie-Rolladen-Trennwand,Schmidt Andre (eXec),V 1.3,2026-07-02 11:33:00,2026-05-21 15:30:08
19002763,MQTT :: Connector,Kommunikation,Nima Ghassemi (sipiyou),V 1.10,2026-07-01 21:22:09,2026-05-25 14:57:50
19002791,Landesapothekenkammer - Notfallapotheken v2.0,Webservice,Schmidt Andre (eXec),V 2.0,2026-07-01 13:11:11,2026-06-10 09:47:49
19002802,Hoymiles Wechselrichter DTUBI API V1.0 (lokal TCP),Zähler,Schmidt Andre (eXec),V 1.0,2026-06-23 19:27:09,2026-06-22 14:05:44
19000690,geordnete Liste von Jahrestagen aus Textdatei - deprecated,Alarmierung,Staud Marco (mars),V 0.6,2026-06-23 19:08:47,2016-10-31 00:00:00
19002801,Jahrestage/Erinnerungen Viewer v2.0,Listeneingang + Listenausgang,Schmidt Andre (eXec),V 2.0,2026-06-22 13:32:14,2026-06-18 11:09:36
19002800,Jahrestage/Erinnerungen Editor v2.1,Listeneingang + Listenausgang,Schmidt Andre (eXec),V 2.1,2026-06-22 13:13:06,2026-06-18 10:12:14
19002805,Sommer Heat Shutter Closer,Jalousie-Rolladen-Trennwand,Schmidt Andre (eXec),V 1.7,2026-06-22 12:46:11,2026-06-21 11:56:10
19002781,Energy Meter,Zähler,Schmidt Andre (eXec),V 1.5,2026-06-17 13:51:26,2026-06-02 12:40:27
19002799,WUnderground JSON/PIPE-Splitter v1.2,Wandler,Schmidt Andre (eXec),V 1.2,2026-06-17 09:09:33,2026-06-16 13:59:31
19002798,WUnderground Weather Forecast NextGen v1.2,Webservice,Schmidt Andre (eXec),V 1.2,2026-06-17 09:09:26,2026-06-16 11:32:47
19002784,GIRA™ Rauchmelder Monitor v1.0.1,Alarmierung,Schmidt Andre (eXec),V 1.1,2026-06-10 06:05:40,2026-06-06 03:00:16
19002789,Rauchmelder Binär to Icon-URL 10-Kanal v1.0,Alarmierung,Schmidt Andre (eXec),V 1.0,2026-06-09 11:43:07,2026-06-09 09:38:32
19002788,Grafana URL Generator v1.0,Ohne,Schmidt Andre (eXec),V 1.0,2026-06-08 22:07:56,2026-06-08 21:19:19
19001105,Pollenflugprognose HTML v1.2,Webservice,Schmidt Andre (eXec),V 1.2,2026-06-06 23:23:55,2017-11-17 10:14:01
